"","x"
"136",2.74461702540298e-07
"137",4.82933004438416e-07
"138",8.49910966032665e-07
"139",6.51254652196595e-05
"140",5.58552226000762e-05
"141",4.80285383110429e-05
"142",4.13788048744318e-05
"143",3.5707117635093e-05
"144",3.08568360205785e-05
"145",2.67006485055824e-05
"146",2.31332852042248e-05
"147",2.00669495231458e-05
"148",1.742821305275e-05
"149",1.51558538684886e-05
"150",1.31994810467263e-05
"151",1.15190323652861e-05
"152",1.00854977351215e-05
"153",8.88362350418145e-06
"154",7.91803299434128e-06
"155",7.22534322449502e-06
"156",6.89664905927134e-06
"157",7.11706437591511e-06
"158",8.2304051641757e-06
"159",1.08320890916205e-05
"160",1.58677565259562e-05
"161",2.46472681342181e-05
"162",3.85843146611756e-05
"163",5.84976731853579e-05
"164",8.37495829499578e-05
"165",0.000112108982482267
"166",0.000140822941359722
"167",0.000167968492921041
"168",0.000192915475999667
"169",0.000215924818871676
"170",0.0002375521386679
"171",0.00025822383529831
"172",0.000277966110368462
"173",0.000296135770460243
"174",0.000311018243099748
"175",0.000319279948723561
"176",0.000315659085035644
"177",0.000294122540084328
"178",0.000251987185511914
"179",0.000195032070431416
"180",0.000136361940981082
"181",8.76656062325484e-05
"182",5.31360844232649e-05
"183",3.10479511635273e-05
"184",1.77643334275967e-05
"185",1.00494520362018e-05
"186",5.65277248365636e-06
"187",3.17181912987415e-06
"188",1.77871662623869e-06
"189",9.98112859964038e-07
"190",5.6093752909236e-07
"191",3.1599663056592e-07
"192",1.78645590746745e-07
"193",1.01588417475931e-07
"194",5.84418937860434e-08
"195",3.45449487977533e-08
"196",2.18533924549577e-08
"197",1.61437155382208e-08
"198",1.55467444346011e-08
"199",1.98946583617179e-08
"200",3.06475861435304e-08
"201",5.13652082051586e-08
"202",8.88726405530999e-08
"203",1.55500448834714e-07
"204",2.73132627425445e-07
"205",4.80390541066411e-07
"206",8.45310492885076e-07
"207",1.48767585555655e-06
"208",8.82881224683437e-05
"209",7.56256346450813e-05
"210",6.4967778279105e-05
"211",5.59295858277542e-05
"212",4.82304775768655e-05
"213",4.16526773135863e-05
"214",3.60206502673924e-05
"215",3.11899102292119e-05
"216",2.70402308998019e-05
"217",2.34711337199483e-05
"218",2.03987556412609e-05
"219",1.77537792620246e-05
"220",1.54804555890225e-05
"221",1.35370803681009e-05
"222",1.18987531179146e-05
"223",1.05640252968964e-05
"224",9.56835669711389e-06
"225",9.0093929700857e-06
"226",9.09193567398021e-06
"227",1.02027852894284e-05
"228",1.30219175589965e-05
"229",1.86515331203477e-05
"230",2.86715679138811e-05
"231",4.49058193741812e-05
"232",6.86536823355635e-05
"233",9.95702137020548e-05
"234",0.000135199244792112
"235",0.000172036703397523
"236",0.000207312655704829
"237",0.000239874243199894
"238",0.000269852859997277
"239",0.000297906252188671
"240",0.000324622962666925
"241",0.000350145533932047
"242",0.000373837411503937
"243",0.000393811811962946
"244",0.000406262879291621
"245",0.000404951876364698
"246",0.000382173099748195
"247",0.00033322734022048
"248",0.000263190303214069
"249",0.000187583505018337
"250",0.00012244071696467
"251",7.49974755106593e-05
"252",4.41170007148249e-05
"253",2.53479050582612e-05
"254",1.43781571993251e-05
"255",8.10274107217896e-06
"256",4.55313952698529e-06
"257",2.55666108882796e-06
"258",1.43651727121388e-06
"259",8.08465567726179e-07
"260",4.56189287671899e-07
"261",2.58431382436609e-07
"262",1.47377484663489e-07
"263",8.51800046257796e-08
"264",5.08166914645337e-08
"265",3.2792736315698e-08
"266",2.51573780445121e-08
"267",2.54439377749489e-08
"268",3.38087751597133e-08
"269",5.30597544302193e-08
"270",8.95691691931185e-08
"271",1.55363251922469e-07
"272",2.72070294271492e-07
"273",4.78021406798948e-07
"274",8.40833716493342e-07
"275",1.47960571258306e-06
"276",2.60400941309707e-06
"277",0.000119760961329075
"278",0.000102439234377106
"279",8.79130017736119e-05
"280",7.56210803356229e-05
"281",6.51651300194514e-05
"282",5.62412055446557e-05
"283",4.86067492109838e-05
"284",4.2063205447122e-05
"285",3.64458324522534e-05
"286",3.16171065291747e-05
"287",2.74621863714528e-05
"288",2.38858465310071e-05
"289",2.08108045103721e-05
"290",1.81777915301336e-05
"291",1.59482682829936e-05
"292",1.4111577245368e-05
"293",1.26998257905267e-05
"294",1.18162275920497e-05
"295",1.16860950230894e-05
"296",1.27430242272866e-05
"297",1.5760643075957e-05
"298",2.20165957841056e-05
"299",3.33985551206575e-05
"300",5.22133927621041e-05
"301",8.03687187376609e-05
"302",0.000117980633401023
"303",0.000162476004215054
"304",0.000209518567641444
"305",0.000255240184535686
"306",0.000297710035254649
"307",0.000336790542116126
"308",0.000373215593849318
"309",0.000407767682083922
"310",0.000440748470844356
"311",0.000471556219907252
"312",0.000498131641689579
"313",0.000516153556924149
"314",0.0005182908561426
"315",0.000494904862910177
"316",0.000438757579474994
"317",0.000353524722759654
"318",0.000256984091900105
"319",0.000170479106182637
"320",0.00010563352797529
"321",6.26083698526923e-05
"322",3.61442181686069e-05
"323",2.05654572962329e-05
"324",1.16143878807343e-05
"325",6.53728392336678e-06
"326",3.67618976717433e-06
"327",2.06856362572849e-06
"328",1.16601621923371e-06
"329",6.591443313143e-07
"330",3.74254584826472e-07
"331",2.14107246659443e-07
"332",1.24403642264474e-07
"333",7.50030060041833e-08
"334",4.94956058518913e-08
"335",3.95358459880887e-08
"336",4.19628524519597e-08
"337",5.76975495762829e-08
"338",9.2017601225377e-08
"339",1.56280846002271e-07
"340",2.71652741746895e-07
"341",4.76056193891773e-07
"342",8.3662246254342e-07
"343",1.47172871969357e-06
"344",2.58985482385658e-06
"345",4.55801190007667e-06
"346",0.000162563577234224
"347",0.000138826506470195
"348",0.000119007159551295
"349",0.000102278931067899
"350",8.80721135531948e-05
"351",7.59605554643379e-05
"352",6.56082023175287e-05
"353",5.67417939995153e-05
"354",4.91354115616235e-05
"355",4.26007655144713e-05
"356",3.69806176810875e-05
"357",3.21442826402773e-05
"358",2.79849445469986e-05
"359",2.44190942573361e-05
"360",2.13890521176409e-05
"361",1.88705656400532e-05
"362",1.68891897613511e-05
"363",1.55519717407686e-05
"364",1.51051085810774e-05
"365",1.60327712458471e-05
"366",1.9211941909861e-05
"367",2.61162406668428e-05
"368",3.89821974996742e-05
"369",6.06800023022117e-05
"370",9.3870311697124e-05
"371",0.000139337742660975
"372",0.000194561850095273
"373",0.000254334237729671
"374",0.000313407556243038
"375",0.000368734794257919
"376",0.000419694302575502
"377",0.000467032642914109
"378",0.000511751889087767
"379",0.000554363438189859
"380",0.000594338027030948
"381",0.000629448639635324
"382",0.000654813961750944
"383",0.000661885993630645
"384",0.000638814897225595
"385",0.00057525125306676
"386",0.000472612951412026
"387",0.000350514283758032
"388",0.000236547636512205
"389",0.000148431644004626
"390",8.87192062019004e-05
"391",5.14964307134037e-05
"392",2.94043340031899e-05
"393",1.6647044566609e-05
"394",9.38780915264548e-06
"395",5.28796570506834e-06
"396",2.98037065979529e-06
"397",1.68293821785449e-06
"398",9.532816778157e-07
"399",5.42625682573815e-07
"400",3.11532805381662e-07
"401",1.82097202485746e-07
"402",1.11111379635533e-07
"403",7.51785932503377e-08
"404",6.26648543238948e-08
"405",6.97001370258649e-08
"406",9.88275501536404e-08
"407",1.59807543905428e-07
"408",2.72814651574863e-07
"409",4.75062442863219e-07
"410",8.33024500791999e-07
"411",1.46425951032405e-06
"412",2.57600238982149e-06
"413",4.53318646051294e-06
"414",7.97821954084213e-06
"415",0.000220834769498174
"416",0.000188238207240794
"417",0.000161164033347487
"418",0.000138381053970039
"419",0.000119067640153383
"420",0.000102623088547411
"421",8.85803457753397e-05
"422",7.65626782942624e-05
"423",6.62599747984118e-05
"424",5.74143243754444e-05
"425",4.98104435568162e-05
"426",4.32691146599192e-05
"427",3.7643043041931e-05
"428",3.28153338292842e-05
"429",2.87015985673929e-05
"430",2.52578875994665e-05
"431",2.2498609212206e-05
"432",2.05318394540599e-05
"433",1.96243351671852e-05
"434",2.0314416889193e-05
"435",2.35926568847703e-05
"436",3.11508945251323e-05
"437",4.56193336732678e-05
"438",7.05193575706597e-05
"439",0.000109427139028599
"440",0.000164044994461511
"441",0.000232148272784659
"442",0.000307681475273371
"443",0.000383723097093073
"444",0.000455677654993499
"445",0.000522121683003465
"446",0.000583691100130021
"447",0.000641616417559805
"448",0.000696674983301786
"449",0.000748458290244487
"450",0.000794582710014339
"451",0.000829560199253729
"452",0.000843490791689615
"453",0.000822016478261648
"454",0.000751059467819575
"455",0.000628766408286589
"456",0.00047585528162169
"457",0.000326973954881697
"458",0.000208006513557182
"459",0.000125502289230535
"460",7.32963518511844e-05
"461",4.20220041051822e-05
"462",2.3857840233229e-05
"463",1.34835712410543e-05
"464",7.60941479546503e-06
"465",4.29666293703598e-06
"466",2.43095804911634e-06
"467",1.38007046873801e-06
"468",7.87752481347247e-07
"469",4.54058129304918e-07
"470",2.67207182986768e-07
"471",1.65276672565189e-07
"472",1.14962127987505e-07
"473",1.00172965300165e-07
"474",1.16526201564118e-07
"475",1.69813527284376e-07
"476",2.77872399706537e-07
"477",4.76440050534428e-07
"478",8.30893956167861e-07
"479",1.45772363759615e-06
"480",2.56277722450894e-06
"481",4.50883357247693e-06
"482",7.93467454235813e-06
"483",1.39647283683881e-05
"484",0.000300260854669481
"485",0.000255386360067238
"486",0.000218348663138952
"487",0.000187292432191314
"488",0.000161021634523776
"489",0.000138684226711115
"490",0.000119628668529788
"491",0.000103334478150703
"492",8.93754860298394e-05
"493",7.73982141869833e-05
"494",6.71078738118081e-05
"495",5.82588187314542e-05
"496",5.06482992937734e-05
"497",4.41135117427565e-05
"498",3.85329613003303e-05
"499",3.38345433359567e-05
"500",3.0014997137668e-05
"501",2.71791125864354e-05
"502",2.56128332458981e-05
"503",2.59117459974902e-05
"504",2.9190646495292e-05
"505",3.73835716281202e-05
"506",5.35631459499515e-05
"507",8.19978522883564e-05
"508",0.000127359856498618
"509",0.00019256183324209
"510",0.000276002564176423
"511",0.000370897041659542
"512",0.000468366404799722
"513",0.000561735303736453
"514",0.000648326954274658
"515",0.000728452424896791
"516",0.000803545392242945
"517",0.000874705452401935
"518",0.000941703796389566
"519",0.00100201865210796
"520",0.00104950659593435
"521",0.00107276799773751
"522",0.00105461889254289
"523",0.000976597590680546
"524",0.000832425111574589
"525",0.000642838576574168
"526",0.000450083158783435
"527",0.000290598448989422
"528",0.000177176793257852
"529",0.000104199395435572
"530",6.00175625451051e-05
"531",3.41859519024871e-05
"532",1.93690429028086e-05
"533",1.09544205002901e-05
"534",6.19822490919512e-06
"535",3.51445495638156e-06
"536",2.00011894182048e-06
"537",1.14520329189681e-06
"538",6.63012131830341e-07
"539",3.93164788384992e-07
"540",2.46950207081272e-07
"541",1.77060191610056e-07
"542",1.61473052012305e-07
"543",1.95957001035092e-07
"544",2.92579990468333e-07
"545",4.83649985622374e-07
"546",8.32332811591104e-07
"547",1.45340945962641e-06
"548",2.55097480659714e-06
"549",4.48544560027697e-06
"550",7.89186576492885e-06
"551",1.38883272729733e-05
"552",2.44428796292505e-05
"553",0.000408676373170852
"554",0.000346715412056194
"555",0.000295961533891944
"556",0.000253585268290182
"557",0.000217827724436247
"558",0.000187471669152976
"559",0.000161604193621976
"560",0.000139504411071452
"561",0.000120585851327842
"562",0.000104363713742625
"563",9.04342502815804e-05
"564",7.84608760653227e-05
"565",6.8164893086781e-05
"566",5.93204453422449e-05
"567",5.1754663164074e-05
"568",4.53555991238967e-05
"569",4.00931415029681e-05
"570",3.60623633342505e-05
"571",3.35654857224554e-05
"572",3.32576544195986e-05
"573",3.63886954628947e-05
"574",4.51605202707174e-05
"575",6.31410639456065e-05
"576",9.54502844039723e-05
"577",0.00014805520034302
"578",0.000225416086716712
"579",0.000326976910365899
"580",0.000445463405555592
"581",0.000569804787683153
"582",0.000690620529198896
"583",0.000803362245716744
"584",0.000907669810652577
"585",0.0010050937775565
"586",0.00109710141424184
"587",0.00118371103564027
"588",0.00126228876005726
"589",0.00132598423562609
"590",0.00136173493790969
"591",0.00134918920159308
"592",0.00126481255038898
"593",0.00109662812047007
"594",0.000863940182146905
"595",0.000616723612831854
"596",0.000404575633353963
"597",0.000249537777334443
"598",0.000147917355725296
"599",8.56538214695498e-05
"600",4.89719134885467e-05
"601",2.78263895930869e-05
"602",1.57762337567508e-05
"603",8.94730665419439e-06
"604",5.08551617978935e-06
"605",2.90215773251478e-06
"606",1.66735424413189e-06
"607",9.7007375124555e-07
"608",5.80224683431143e-07
"609",3.70788822933868e-07
"610",2.74748292355489e-07
"611",2.62391474268995e-07
"612",3.31263254185001e-07
"613",5.05268816837843e-07
"614",8.4252551109563e-07
"615",1.45448086172136e-06
"616",2.54254238089904e-06
"617",4.46422764720378e-06
"618",7.8505373692947e-06
"619",1.38130617918145e-05
"620",2.43087600354083e-05
"621",4.2782031904057e-05
"622",0.00055691185969766
"623",0.000471055590014883
"624",0.000401365928236114
"625",0.000343475959892263
"626",0.00029477058559909
"627",0.000253496677670239
"628",0.000218368488085952
"629",0.000188384572781179
"630",0.000162736533973951
"631",0.000140758885883647
"632",0.000121898457893896
"633",0.000105694142202101
"634",9.1763245381805e-05
"635",7.97933959524617e-05
"636",6.95407853188096e-05
"637",6.08375099308707e-05
"638",5.36137639464268e-05
"639",4.79455248879956e-05
"640",4.41461690989418e-05
"641",4.29313474669191e-05
"642",4.56965496456229e-05
"643",5.49388117898125e-05
"644",7.47785798031291e-05
"645",0.000111300592012489
"646",0.000171984376339873
"647",0.00026322016611972
"648",0.000386020559262426
"649",0.000533015859962298
"650",0.000690805940119727
"651",0.000846606213266122
"652",0.000993180743199953
"653",0.00112896755447965
"654",0.00125544700126488
"655",0.00137446915701787
"656",0.0014863691169522
"657",0.00158843294004978
"658",0.00167304694925577
"659",0.00172530279134972
"660",0.00172131062216201
"661",0.00163174497212393
"662",0.00143757134246468
"663",0.00115485591274954
"664",0.000840887198186437
"665",0.000561054341319496
"666",0.000350487163080347
"667",0.000209612818839943
"668",0.000122122819220951
"669",7.01258764391943e-05
"670",3.99784966817754e-05
"671",2.2729438475469e-05
"672",1.29246183636288e-05
"673",7.36602273090897e-06
"674",4.21631638142624e-06
"675",2.43151112658436e-06
"676",1.42244540974633e-06
"677",8.59076798165915e-07
"678",5.59676095201156e-07
"679",4.29637276654163e-07
"680",4.29666302013639e-07
"681",5.62598688917122e-07
"682",8.74288598174074e-07
"683",1.46872361493645e-06
"684",2.5422529719963e-06
"685",4.44812737797049e-06
"686",7.81251459029407e-06
"687",1.37400510080293e-05
"688",2.41763553596685e-05
"689",4.25463752441371e-05
"690",7.48777521994641e-05
"691",0.00075999882417064
"692",0.000640532733457645
"693",0.000544613419609517
"694",0.00046542219403852
"695",0.000399026013282068
"696",0.000342876922586147
"697",0.000295153163020088
"698",0.000254458603794765
"699",0.000219676746343169
"700",0.000189893129346505
"701",0.000164349511121762
"702",0.000142414219059587
"703",0.000123562172241085
"704",0.000107362375457067
"705",9.34732747316813e-05
"706",8.16488377112643e-05
"707",7.17616902047879e-05
"708",6.38552455504416e-05
"709",5.82457635193812e-05
"710",5.5708263492719e-05
"711",5.77938378829463e-05
"712",6.73232149696371e-05
"713",8.90309496319307e-05
"714",0.000130089252274261
"715",0.000199727080434403
"716",0.000306692173314783
"717",0.000454196139958417
"718",0.000635351025640143
"719",0.000834446390721264
"720",0.00103456160275196
"721",0.00122473705085103
"722",0.00140143167736797
"723",0.00156571151171144
"724",0.00171976225789983
"725",0.00186429449667041
"726",0.00199654735943072
"727",0.00210807859706349
"728",0.00218192532371136
"729",0.0021902534735731
"730",0.00209720133213467
"731",0.00187526540204641
"732",0.00153516379421937
"733",0.00114042507529903
"734",0.000774646608996647
"735",0.000490709100341392
"736",0.00029642339600759
"737",0.000173910103229647
"738",0.000100363660392489
"739",5.7435821760427e-05
"740",3.27593346190159e-05
"741",1.86832058294115e-05
"742",1.06800825864241e-05
"743",6.13378055221359e-06
"744",3.55205103319049e-06
"745",2.09069731284064e-06
"746",1.27645480174436e-06
"747",8.49585805595863e-07
"748",6.77147591485892e-07
"749",7.08663758695948e-07
"750",9.59377977480686e-07
"751",1.51533927739074e-06
"752",2.56182716423252e-06
"753",4.44435953651856e-06
"754",7.78226323643312e-06
"755",1.36720537453452e-05
"756",2.40473313100259e-05
"757",4.23131981709611e-05
"758",7.44630788023437e-05
"759",0.000131043493703963
"760",0.0010388960965727
"761",0.000871841450035486
"762",0.000739444545698735
"763",0.000630939853821775
"764",0.000540342048798429
"765",0.00046391099044598
"766",0.000399047584086969
"767",0.000343797301914408
"768",0.00029661450650891
"769",0.000256241051999353
"770",0.000221636997078089
"771",0.000191936946304959
"772",0.000166420867588933
"773",0.000144495208144529
"774",0.000125683959326111
"775",0.000109632495884683
"776",9.61310970803398e-05
"777",8.51714884339115e-05
"778",7.70601007278651e-05
"779",7.26270707082164e-05
"780",7.35875780447904e-05
"781",8.31154850548023e-05
"782",0.000106625412084685
"783",0.000152509532559104
"784",0.000232002935147192
"785",0.00035668334031891
"786",0.000532701440916065
"787",0.00075443807410644
"788",0.00100411575095531
"789",0.00125997751565021
"790",0.00150607822029412
"791",0.001735804920201
"792",0.00194923210994927
"793",0.00214872168759515
"794",0.00233538313817923
"795",0.00250643193660993
"796",0.00265251556204652
"797",0.00275437317726481
"798",0.00277977539040742
"799",0.0026855519553627
"800",0.00243430681576703
"801",0.00202907935334467
"802",0.00153785500255811
"803",0.00106433685243158
"804",0.00068450934794286
"805",0.000418147143964418
"806",0.000247289151500638
"807",0.000143535697224718
"808",8.25049259741323e-05
"809",4.72306481707389e-05
"810",2.70268890800001e-05
"811",1.55016978314214e-05
"812",8.93594588186891e-06
"813",5.19862083437438e-06
"814",3.08070754118873e-06
"815",1.90389311027469e-06
"816",1.29746004999336e-06
"817",1.07570547732086e-06
"818",1.17664522786536e-06
"819",1.64178787224089e-06
"820",2.63010422199555e-06
"821",4.47060737723125e-06
"822",7.77070526209996e-06
"823",1.36158338651065e-05
"824",2.39258367367562e-05
"825",4.208493139151e-05
"826",7.40516655644703e-05
"827",0.000130312121843958
"828",0.000229314382829622
"829",0.00142298462957301
"830",0.0011880365424043
"831",0.00100467315657133
"832",0.00085572221671697
"833",0.000731967216502205
"834",0.000627859053382473
"835",0.000539660488757518
"836",0.000464621827277798
"837",0.000400597398699456
"838",0.000345853646216958
"839",0.000298963257463071
"840",0.000258740420105305
"841",0.000224198168875197
"842",0.000194520284320874
"843",0.000169046057173341
"844",0.000147270466203341
"845",0.000128867203588266
"846",0.00011374938670539
"847",0.000102194688747932
"848",9.50795623371532e-05
"849",9.42892115917063e-05
"850",0.000103380243078137
"851",0.000128517425774301
"852",0.000179455499468396
"853",0.000269712705382013
"854",0.000414213665275326
"855",0.000622898242633571
"856",0.000892434367293873
"857",0.00120351744548783
"858",0.00152897727811563
"859",0.00184641739739798
"860",0.00214467588661727
"861",0.00242192766287796
"862",0.0026803648543673
"863",0.00292144251369241
"864",0.00314234484616492
"865",0.00333269719832311
"866",0.00347064929739568
"867",0.00351906727438438
"868",0.00342667044129173
"869",0.00314477554611633
"870",0.00266630923847041
"871",0.00206125113275307
"872",0.00145447746396623
"873",0.00095082993184513
"874",0.000588120870814399
"875",0.000350983464180594
"876",0.000205081558661944
"877",0.000118483126048417
"878",6.81124082608585e-05
"879",3.91243750986009e-05
"880",2.25248552489919e-05
"881",1.30377210413177e-05
"882",7.62348252017417e-06
"883",4.55190668122501e-06
"884",2.8514747466788e-06
"885",1.99404607020636e-06
"886",1.72225498240944e-06
"887",1.9656200790731e-06
"888",2.81819261197845e-06
"889",4.57028793365345e-06
"890",7.8045710477866e-06
"891",1.35879381569754e-05
"892",2.38220943664157e-05
"893",4.18677503505014e-05
"894",7.36469251571929e-05
"895",0.00012958405112581
"896",0.000228019814115626
"897",0.000401208939220227
"898",0.00195370611773197
"899",0.00162106927262114
"900",0.00136610802622724
"901",0.00116117565529076
"902",0.000991916170452553
"903",0.000850003701691313
"904",0.000730017353709631
"905",0.000628066721373105
"906",0.000541163378422513
"907",0.000466914531163683
"908",0.000403359531529236
"909",0.000348873063927895
"910",0.000302102635634153
"911",0.000261927130471953
"912",0.000227432395761701
"913",0.000197905714239641
"914",0.000172856996521621
"915",0.00015208310748941
"916",0.000135805381699085
"917",0.000124931247009637
"918",0.000121517772047017
"919",0.000129533011426862
"920",0.000155965580289639
"921",0.000212085636174322
"922",0.000313992418485755
"923",0.000480518191732917
"924",0.000726350177534378
"925",0.00105170757415381
"926",0.0014366673826156
"927",0.0018483107609714
"928",0.0022561807519556
"929",0.00264264824582484
"930",0.00300263117980236
"931",0.00333751396189936
"932",0.00364890046929212
"933",0.00393386794405843
"934",0.00418085383785578
"935",0.00436505879096598
"936",0.00444385966255675
"937",0.0043570284940496
"938",0.0040432707203983
"939",0.0034830082289481
"940",0.00274520307252287
"941",0.00197587933708184
"942",0.00131443539502413
"943",0.000824318166664888
"944",0.000497038512692192
"945",0.000292651334326991
"946",0.000170072157651082
"947",9.82425749378538e-05
"948",5.66750308746502e-05
"949",3.27665927931917e-05
"950",1.90519241671292e-05
"951",1.12026989067298e-05
"952",6.74526112797745e-06
"953",4.28952945386362e-06
"954",3.08492764482235e-06
"955",2.77851625737933e-06
"956",3.30176871000155e-06
"957",4.85020069688984e-06
"958",7.94936512727833e-06
"959",1.36288302325757e-05
"960",2.37611628421279e-05
"961",4.16770259525201e-05
"962",7.32578700918201e-05
"963",0.000128863699605454
"964",0.000226725327070178
"965",0.000398904950668269
"966",0.000701753413874203
"967",0.00268991999215098
"968",0.00221540235599554
"969",0.0018592302969041
"970",0.00157653031345341
"971",0.00134469615672699
"972",0.00115109126866659
"973",0.000987777041027043
"974",0.000849213157840931
"975",0.000731221375539082
"976",0.000630492141117493
"977",0.000544329465499016
"978",0.000470504821902862
"979",0.000407165121835936
"980",0.000352771880110357
"981",0.00030606349697326
"982",0.00026604109507427
"983",0.000231985895119173
"984",0.000203526145620588
"985",0.000180787273439014
"986",0.000164683058757913
"987",0.000157438000960366
"988",0.000163457814321741
"989",0.000190631358626872
"990",0.000251907161070315
"991",0.000366284509744034
"992",0.000557107145666443
"993",0.000844872093040122
"994",0.00123486669240925
"995",0.00170789286060415
"996",0.00222532994713222
"997",0.00274701763930926
"998",0.00324647182114558
"999",0.00371341317316261
"1000",0.00414734560581768
"1001",0.00454957965280232
"1002",0.00491687970386772
"1003",0.00523623589817009
"1004",0.00547944154069046
"1005",0.00559769999440456
"1006",0.00552095647719052
"1007",0.00517409339782467
"1008",0.00452284388185941
"1009",0.00363182900379119
"1010",0.00266695885027916
"1011",0.00180724490691206
"1012",0.00115068109740124
"1013",0.000701946506577856
"1014",0.000416943750636879
"1015",0.000243954103425233
"1016",0.000141705016854613
"1017",8.21491489322746e-05
"1018",4.77184708424811e-05
"1019",2.78851221569996e-05
"1020",1.64982926265259e-05
"1021",1.00263477272295e-05
"1022",6.48305359227745e-06
"1023",4.80515318315562e-06
"1024",4.51556683088026e-06
"1025",5.57352369789135e-06
"1026",8.36585728472201e-06
"1027",1.38375176283585e-05
"1028",2.38043346179459e-05
"1029",4.15506218944385e-05
"1030",7.29073740720795e-05
"1031",0.000128163727176152
"1032",0.00022543556975197
"1033",0.000396586986625914
"1034",0.000697619284245763
"1035",0.00122685301095528
"1036",0.00371586280239862
"1037",0.00303319909253091
"1038",0.0025329393246149
"1039",0.00214174601150744
"1040",0.00182366277944073
"1041",0.00155928934317939
"1042",0.00133688020771971
"1043",0.00114848709542587
"1044",0.000988241992550305
"1045",0.000851556234067067
"1046",0.000734718326996723
"1047",0.000634671302171927
"1048",0.000548876421558775
"1049",0.000475224036988383
"1050",0.00041197662633435
"1051",0.000357741811644137
"1052",0.000311483022140967
"1053",0.000272587362068502
"1054",0.000241028236693051
"1055",0.000217688103789446
"1056",0.000204945152974012
"1057",0.000207664187770238
"1058",0.000234711934545028
"1059",0.000300887769454318
"1060",0.000428431413204867
"1061",0.000645844146520413
"1062",0.000980594067471114
"1063",0.0014448047995505
"1064",0.00202183482636062
"1065",0.00266794600725363
"1066",0.00333176412929969
