"","x1","x2"
"309",0.6,-1.8
"310",0.7,-1.8
"311",0.8,-1.8
"312",0.9,-1.8
"313",1,-1.8
"314",1.1,-1.8
"315",1.2,-1.8
"316",1.3,-1.8
"317",1.4,-1.8
"318",1.5,-1.8
"319",1.6,-1.8
"320",1.7,-1.8
"321",1.8,-1.8
"322",1.9,-1.8
"323",2,-1.8
"324",2.1,-1.8
"325",2.2,-1.8
"326",2.3,-1.8
"327",2.4,-1.8
"328",2.5,-1.8
"329",2.6,-1.8
"330",2.7,-1.8
"331",2.8,-1.8
"332",2.9,-1.8
"333",3,-1.8
"334",3.1,-1.8
"335",3.2,-1.8
"336",3.3,-1.8
"337",3.4,-1.8
"338",3.5,-1.8
"339",3.6,-1.8
"340",3.7,-1.8
"341",3.8,-1.8
"342",3.9,-1.8
"343",4,-1.8
"344",4.1,-1.8
"345",4.2,-1.8
"346",-2.6,-1.75
"347",-2.5,-1.75
"348",-2.4,-1.75
"349",-2.3,-1.75
"350",-2.2,-1.75
"351",-2.1,-1.75
"352",-2,-1.75
"353",-1.9,-1.75
"354",-1.8,-1.75
"355",-1.7,-1.75
"356",-1.6,-1.75
"357",-1.5,-1.75
"358",-1.4,-1.75
"359",-1.3,-1.75
"360",-1.2,-1.75
"361",-1.1,-1.75
"362",-1,-1.75
"363",-0.9,-1.75
"364",-0.8,-1.75
"365",-0.7,-1.75
"366",-0.6,-1.75
"367",-0.5,-1.75
"368",-0.4,-1.75
"369",-0.3,-1.75
"370",-0.2,-1.75
"371",-0.1,-1.75
"372",0,-1.75
"373",0.1,-1.75
"374",0.2,-1.75
"375",0.3,-1.75
"376",0.4,-1.75
"377",0.5,-1.75
"378",0.6,-1.75
"379",0.7,-1.75
"380",0.8,-1.75
"381",0.9,-1.75
"382",1,-1.75
"383",1.1,-1.75
"384",1.2,-1.75
"385",1.3,-1.75
"386",1.4,-1.75
"387",1.5,-1.75
"388",1.6,-1.75
"389",1.7,-1.75
"390",1.8,-1.75
"391",1.9,-1.75
"392",2,-1.75
"393",2.1,-1.75
"394",2.2,-1.75
"395",2.3,-1.75
"396",2.4,-1.75
"397",2.5,-1.75
"398",2.6,-1.75
"399",2.7,-1.75
"400",2.8,-1.75
"401",2.9,-1.75
"402",3,-1.75
"403",3.1,-1.75
"404",3.2,-1.75
"405",3.3,-1.75
"406",3.4,-1.75
"407",3.5,-1.75
"408",3.6,-1.75
"409",3.7,-1.75
"410",3.8,-1.75
"411",3.9,-1.75
"412",4,-1.75
"413",4.1,-1.75
"414",4.2,-1.75
"415",-2.6,-1.7
"416",-2.5,-1.7
"417",-2.4,-1.7
"418",-2.3,-1.7
"419",-2.2,-1.7
"420",-2.1,-1.7
"421",-2,-1.7
"422",-1.9,-1.7
"423",-1.8,-1.7
"424",-1.7,-1.7
"425",-1.6,-1.7
"426",-1.5,-1.7
"427",-1.4,-1.7
"428",-1.3,-1.7
"429",-1.2,-1.7
"430",-1.1,-1.7
"431",-1,-1.7
"432",-0.9,-1.7
"433",-0.8,-1.7
"434",-0.7,-1.7
"435",-0.6,-1.7
"436",-0.5,-1.7
"437",-0.4,-1.7
"438",-0.3,-1.7
"439",-0.2,-1.7
"440",-0.1,-1.7
"441",0,-1.7
"442",0.1,-1.7
"443",0.2,-1.7
"444",0.3,-1.7
"445",0.4,-1.7
"446",0.5,-1.7
"447",0.6,-1.7
"448",0.7,-1.7
"449",0.8,-1.7
"450",0.9,-1.7
"451",1,-1.7
"452",1.1,-1.7
"453",1.2,-1.7
"454",1.3,-1.7
"455",1.4,-1.7
"456",1.5,-1.7
"457",1.6,-1.7
"458",1.7,-1.7
"459",1.8,-1.7
"460",1.9,-1.7
"461",2,-1.7
"462",2.1,-1.7
"463",2.2,-1.7
"464",2.3,-1.7
"465",2.4,-1.7
"466",2.5,-1.7
"467",2.6,-1.7
"468",2.7,-1.7
"469",2.8,-1.7
"470",2.9,-1.7
"471",3,-1.7
"472",3.1,-1.7
"473",3.2,-1.7
"474",3.3,-1.7
"475",3.4,-1.7
"476",3.5,-1.7
"477",3.6,-1.7
"478",3.7,-1.7
"479",3.8,-1.7
"480",3.9,-1.7
"481",4,-1.7
"482",4.1,-1.7
"483",4.2,-1.7
"484",-2.6,-1.65
"485",-2.5,-1.65
"486",-2.4,-1.65
"487",-2.3,-1.65
"488",-2.2,-1.65
"489",-2.1,-1.65
"490",-2,-1.65
"491",-1.9,-1.65
"492",-1.8,-1.65
"493",-1.7,-1.65
"494",-1.6,-1.65
"495",-1.5,-1.65
"496",-1.4,-1.65
"497",-1.3,-1.65
"498",-1.2,-1.65
"499",-1.1,-1.65
"500",-1,-1.65
"501",-0.9,-1.65
"502",-0.8,-1.65
"503",-0.7,-1.65
"504",-0.6,-1.65
"505",-0.5,-1.65
"506",-0.4,-1.65
"507",-0.3,-1.65
"508",-0.2,-1.65
"509",-0.1,-1.65
"510",0,-1.65
"511",0.1,-1.65
"512",0.2,-1.65
"513",0.3,-1.65
"514",0.4,-1.65
"515",0.5,-1.65
"516",0.6,-1.65
"517",0.7,-1.65
"518",0.8,-1.65
"519",0.9,-1.65
"520",1,-1.65
"521",1.1,-1.65
"522",1.2,-1.65
"523",1.3,-1.65
"524",1.4,-1.65
"525",1.5,-1.65
"526",1.6,-1.65
"527",1.7,-1.65
"528",1.8,-1.65
"529",1.9,-1.65
"530",2,-1.65
"531",2.1,-1.65
"532",2.2,-1.65
"533",2.3,-1.65
"534",2.4,-1.65
"535",2.5,-1.65
"536",2.6,-1.65
"537",2.7,-1.65
"538",2.8,-1.65
"539",2.9,-1.65
"540",3,-1.65
"541",3.1,-1.65
"542",3.2,-1.65
"543",3.3,-1.65
"544",3.4,-1.65
"545",3.5,-1.65
"546",3.6,-1.65
"547",3.7,-1.65
"548",3.8,-1.65
"549",3.9,-1.65
"550",4,-1.65
"551",4.1,-1.65
"552",4.2,-1.65
"553",-2.6,-1.6
"554",-2.5,-1.6
"555",-2.4,-1.6
"556",-2.3,-1.6
"557",-2.2,-1.6
"558",-2.1,-1.6
"559",-2,-1.6
"560",-1.9,-1.6
"561",-1.8,-1.6
"562",-1.7,-1.6
"563",-1.6,-1.6
"564",-1.5,-1.6
"565",-1.4,-1.6
"566",-1.3,-1.6
"567",-1.2,-1.6
"568",-1.1,-1.6
"569",-1,-1.6
"570",-0.9,-1.6
"571",-0.8,-1.6
"572",-0.7,-1.6
"573",-0.6,-1.6
"574",-0.5,-1.6
"575",-0.4,-1.6
"576",-0.3,-1.6
"577",-0.2,-1.6
"578",-0.1,-1.6
"579",0,-1.6
"580",0.1,-1.6
"581",0.2,-1.6
"582",0.3,-1.6
"583",0.4,-1.6
"584",0.5,-1.6
"585",0.6,-1.6
"586",0.7,-1.6
"587",0.8,-1.6
"588",0.9,-1.6
"589",1,-1.6
"590",1.1,-1.6
"591",1.2,-1.6
"592",1.3,-1.6
"593",1.4,-1.6
"594",1.5,-1.6
"595",1.6,-1.6
"596",1.7,-1.6
"597",1.8,-1.6
"598",1.9,-1.6
"599",2,-1.6
"600",2.1,-1.6
"601",2.2,-1.6
"602",2.3,-1.6
"603",2.4,-1.6
"604",2.5,-1.6
"605",2.6,-1.6
"606",2.7,-1.6
"607",2.8,-1.6
"608",2.9,-1.6
"609",3,-1.6
"610",3.1,-1.6
"611",3.2,-1.6
"612",3.3,-1.6
"613",3.4,-1.6
"614",3.5,-1.6
"615",3.6,-1.6
"616",3.7,-1.6
"617",3.8,-1.6
"618",3.9,-1.6
"619",4,-1.6
"620",4.1,-1.6
"621",4.2,-1.6
"622",-2.6,-1.55
"623",-2.5,-1.55
"624",-2.4,-1.55
"625",-2.3,-1.55
"626",-2.2,-1.55
"627",-2.1,-1.55
"628",-2,-1.55
"629",-1.9,-1.55
"630",-1.8,-1.55
"631",-1.7,-1.55
"632",-1.6,-1.55
"633",-1.5,-1.55
"634",-1.4,-1.55
"635",-1.3,-1.55
"636",-1.2,-1.55
"637",-1.1,-1.55
"638",-1,-1.55
"639",-0.9,-1.55
"640",-0.8,-1.55
"641",-0.7,-1.55
"642",-0.6,-1.55
"643",-0.5,-1.55
"644",-0.4,-1.55
"645",-0.3,-1.55
"646",-0.2,-1.55
"647",-0.1,-1.55
"648",0,-1.55
"649",0.1,-1.55
"650",0.2,-1.55
"651",0.3,-1.55
"652",0.4,-1.55
"653",0.5,-1.55
"654",0.6,-1.55
"655",0.7,-1.55
"656",0.8,-1.55
"657",0.9,-1.55
"658",1,-1.55
"659",1.1,-1.55
"660",1.2,-1.55
"661",1.3,-1.55
"662",1.4,-1.55
"663",1.5,-1.55
"664",1.6,-1.55
"665",1.7,-1.55
"666",1.8,-1.55
"667",1.9,-1.55
"668",2,-1.55
"669",2.1,-1.55
"670",2.2,-1.55
"671",2.3,-1.55
"672",2.4,-1.55
"673",2.5,-1.55
"674",2.6,-1.55
"675",2.7,-1.55
"676",2.8,-1.55
"677",2.9,-1.55
"678",3,-1.55
"679",3.1,-1.55
"680",3.2,-1.55
"681",3.3,-1.55
"682",3.4,-1.55
"683",3.5,-1.55
"684",3.6,-1.55
"685",3.7,-1.55
"686",3.8,-1.55
"687",3.9,-1.55
"688",4,-1.55
"689",4.1,-1.55
"690",4.2,-1.55
"691",-2.6,-1.5
"692",-2.5,-1.5
"693",-2.4,-1.5
"694",-2.3,-1.5
"695",-2.2,-1.5
"696",-2.1,-1.5
"697",-2,-1.5
"698",-1.9,-1.5
"699",-1.8,-1.5
"700",-1.7,-1.5
"701",-1.6,-1.5
"702",-1.5,-1.5
"703",-1.4,-1.5
"704",-1.3,-1.5
"705",-1.2,-1.5
"706",-1.1,-1.5
"707",-1,-1.5
"708",-0.9,-1.5
"709",-0.8,-1.5
"710",-0.7,-1.5
"711",-0.6,-1.5
"712",-0.5,-1.5
"713",-0.4,-1.5
"714",-0.3,-1.5
"715",-0.2,-1.5
"716",-0.1,-1.5
"717",0,-1.5
"718",0.1,-1.5
"719",0.2,-1.5
"720",0.3,-1.5
"721",0.4,-1.5
"722",0.5,-1.5
"723",0.6,-1.5
"724",0.7,-1.5
"725",0.8,-1.5
"726",0.9,-1.5
"727",1,-1.5
"728",1.1,-1.5
"729",1.2,-1.5
"730",1.3,-1.5
"731",1.4,-1.5
"732",1.5,-1.5
"733",1.6,-1.5
"734",1.7,-1.5
"735",1.8,-1.5
"736",1.9,-1.5
"737",2,-1.5
"738",2.1,-1.5
"739",2.2,-1.5
"740",2.3,-1.5
"741",2.4,-1.5
"742",2.5,-1.5
"743",2.6,-1.5
"744",2.7,-1.5
"745",2.8,-1.5
"746",2.9,-1.5
"747",3,-1.5
"748",3.1,-1.5
"749",3.2,-1.5
"750",3.3,-1.5
"751",3.4,-1.5
"752",3.5,-1.5
"753",3.6,-1.5
"754",3.7,-1.5
"755",3.8,-1.5
"756",3.9,-1.5
"757",4,-1.5
"758",4.1,-1.5
"759",4.2,-1.5
"760",-2.6,-1.45
"761",-2.5,-1.45
"762",-2.4,-1.45
"763",-2.3,-1.45
"764",-2.2,-1.45
"765",-2.1,-1.45
"766",-2,-1.45
"767",-1.9,-1.45
"768",-1.8,-1.45
"769",-1.7,-1.45
"770",-1.6,-1.45
"771",-1.5,-1.45
"772",-1.4,-1.45
"773",-1.3,-1.45
"774",-1.2,-1.45
"775",-1.1,-1.45
"776",-1,-1.45
"777",-0.9,-1.45
"778",-0.8,-1.45
"779",-0.7,-1.45
"780",-0.6,-1.45
"781",-0.5,-1.45
"782",-0.4,-1.45
"783",-0.3,-1.45
"784",-0.2,-1.45
"785",-0.1,-1.45
"786",0,-1.45
"787",0.1,-1.45
"788",0.2,-1.45
"789",0.3,-1.45
"790",0.4,-1.45
"791",0.5,-1.45
"792",0.6,-1.45
"793",0.7,-1.45
"794",0.8,-1.45
"795",0.9,-1.45
"796",1,-1.45
"797",1.1,-1.45
"798",1.2,-1.45
"799",1.3,-1.45
"800",1.4,-1.45
"801",1.5,-1.45
"802",1.6,-1.45
"803",1.7,-1.45
"804",1.8,-1.45
"805",1.9,-1.45
"806",2,-1.45
"807",2.1,-1.45
"808",2.2,-1.45
"809",2.3,-1.45
"810",2.4,-1.45
"811",2.5,-1.45
"812",2.6,-1.45
"813",2.7,-1.45
"814",2.8,-1.45
"815",2.9,-1.45
"816",3,-1.45
"817",3.1,-1.45
"818",3.2,-1.45
"819",3.3,-1.45
"820",3.4,-1.45
"821",3.5,-1.45
"822",3.6,-1.45
"823",3.7,-1.45
"824",3.8,-1.45
"825",3.9,-1.45
"826",4,-1.45
"827",4.1,-1.45
"828",4.2,-1.45
"829",-2.6,-1.4
"830",-2.5,-1.4
"831",-2.4,-1.4
"832",-2.3,-1.4
"833",-2.2,-1.4
"834",-2.1,-1.4
"835",-2,-1.4
"836",-1.9,-1.4
"837",-1.8,-1.4
"838",-1.7,-1.4
"839",-1.6,-1.4
"840",-1.5,-1.4
"841",-1.4,-1.4
"842",-1.3,-1.4
"843",-1.2,-1.4
"844",-1.1,-1.4
"845",-1,-1.4
"846",-0.9,-1.4
"847",-0.8,-1.4
"848",-0.7,-1.4
"849",-0.6,-1.4
"850",-0.5,-1.4
"851",-0.4,-1.4
"852",-0.3,-1.4
"853",-0.2,-1.4
"854",-0.1,-1.4
"855",0,-1.4
"856",0.1,-1.4
"857",0.2,-1.4
"858",0.3,-1.4
"859",0.4,-1.4
"860",0.5,-1.4
"861",0.6,-1.4
"862",0.7,-1.4
"863",0.8,-1.4
"864",0.9,-1.4
"865",1,-1.4
"866",1.1,-1.4
"867",1.2,-1.4
"868",1.3,-1.4
"869",1.4,-1.4
"870",1.5,-1.4
"871",1.6,-1.4
"872",1.7,-1.4
"873",1.8,-1.4
"874",1.9,-1.4
"875",2,-1.4
"876",2.1,-1.4
"877",2.2,-1.4
"878",2.3,-1.4
"879",2.4,-1.4
"880",2.5,-1.4
"881",2.6,-1.4
"882",2.7,-1.4
"883",2.8,-1.4
"884",2.9,-1.4
"885",3,-1.4
"886",3.1,-1.4
"887",3.2,-1.4
"888",3.3,-1.4
"889",3.4,-1.4
"890",3.5,-1.4
"891",3.6,-1.4
"892",3.7,-1.4
"893",3.8,-1.4
"894",3.9,-1.4
"895",4,-1.4
"896",4.1,-1.4
"897",4.2,-1.4
"898",-2.6,-1.35
"899",-2.5,-1.35
"900",-2.4,-1.35
"901",-2.3,-1.35
"902",-2.2,-1.35
"903",-2.1,-1.35
"904",-2,-1.35
"905",-1.9,-1.35
"906",-1.8,-1.35
"907",-1.7,-1.35
"908",-1.6,-1.35
"909",-1.5,-1.35
"910",-1.4,-1.35
"911",-1.3,-1.35
"912",-1.2,-1.35
"913",-1.1,-1.35
"914",-1,-1.35
"915",-0.9,-1.35
"916",-0.8,-1.35
"917",-0.7,-1.35
"918",-0.6,-1.35
"919",-0.5,-1.35
"920",-0.4,-1.35
"921",-0.3,-1.35
"922",-0.2,-1.35
"923",-0.1,-1.35
"924",0,-1.35
"925",0.1,-1.35
"926",0.2,-1.35
"927",0.3,-1.35
"928",0.4,-1.35
"929",0.5,-1.35
"930",0.6,-1.35
"931",0.7,-1.35
"932",0.8,-1.35
"933",0.9,-1.35
"934",1,-1.35
"935",1.1,-1.35
"936",1.2,-1.35
"937",1.3,-1.35
"938",1.4,-1.35
"939",1.5,-1.35
"940",1.6,-1.35
"941",1.7,-1.35
"942",1.8,-1.35
"943",1.9,-1.35
"944",2,-1.35
"945",2.1,-1.35
"946",2.2,-1.35
"947",2.3,-1.35
"948",2.4,-1.35
"949",2.5,-1.35
"950",2.6,-1.35
"951",2.7,-1.35
"952",2.8,-1.35
"953",2.9,-1.35
"954",3,-1.35
"955",3.1,-1.35
"956",3.2,-1.35
"957",3.3,-1.35
"958",3.4,-1.35
"959",3.5,-1.35
"960",3.6,-1.35
"961",3.7,-1.35
"962",3.8,-1.35
"963",3.9,-1.35
"964",4,-1.35
"965",4.1,-1.35
"966",4.2,-1.35
"967",-2.6,-1.3
"968",-2.5,-1.3
"969",-2.4,-1.3
"970",-2.3,-1.3
"971",-2.2,-1.3
"972",-2.1,-1.3
"973",-2,-1.3
"974",-1.9,-1.3
"975",-1.8,-1.3
"976",-1.7,-1.3
"977",-1.6,-1.3
"978",-1.5,-1.3
"979",-1.4,-1.3
"980",-1.3,-1.3
"981",-1.2,-1.3
"982",-1.1,-1.3
"983",-1,-1.3
"984",-0.9,-1.3
"985",-0.8,-1.3
"986",-0.7,-1.3
"987",-0.6,-1.3
"988",-0.5,-1.3
"989",-0.4,-1.3
"990",-0.3,-1.3
"991",-0.2,-1.3
"992",-0.1,-1.3
"993",0,-1.3
"994",0.1,-1.3
"995",0.2,-1.3
"996",0.3,-1.3
"997",0.4,-1.3
"998",0.5,-1.3
"999",0.6,-1.3
"1000",0.7,-1.3
"1001",0.8,-1.3
"1002",0.9,-1.3
"1003",1,-1.3
"1004",1.1,-1.3
"1005",1.2,-1.3
"1006",1.3,-1.3
"1007",1.4,-1.3
"1008",1.5,-1.3
"1009",1.6,-1.3
"1010",1.7,-1.3
"1011",1.8,-1.3
"1012",1.9,-1.3
"1013",2,-1.3
"1014",2.1,-1.3
"1015",2.2,-1.3
"1016",2.3,-1.3
"1017",2.4,-1.3
"1018",2.5,-1.3
"1019",2.6,-1.3
"1020",2.7,-1.3
"1021",2.8,-1.3
"1022",2.9,-1.3
"1023",3,-1.3
"1024",3.1,-1.3
"1025",3.2,-1.3
"1026",3.3,-1.3
"1027",3.4,-1.3
"1028",3.5,-1.3
"1029",3.6,-1.3
"1030",3.7,-1.3
"1031",3.8,-1.3
"1032",3.9,-1.3
"1033",4,-1.3
"1034",4.1,-1.3
"1035",4.2,-1.3
"1036",-2.6,-1.25
"1037",-2.5,-1.25
"1038",-2.4,-1.25
"1039",-2.3,-1.25
"1040",-2.2,-1.25
"1041",-2.1,-1.25
"1042",-2,-1.25
"1043",-1.9,-1.25
"1044",-1.8,-1.25
"1045",-1.7,-1.25
"1046",-1.6,-1.25
"1047",-1.5,-1.25
"1048",-1.4,-1.25
"1049",-1.3,-1.25
"1050",-1.2,-1.25
"1051",-1.1,-1.25
"1052",-1,-1.25
"1053",-0.9,-1.25
"1054",-0.8,-1.25
"1055",-0.7,-1.25
"1056",-0.6,-1.25
"1057",-0.5,-1.25
"1058",-0.4,-1.25
"1059",-0.3,-1.25
"1060",-0.2,-1.25
"1061",-0.1,-1.25
"1062",0,-1.25
"1063",0.1,-1.25
"1064",0.2,-1.25
"1065",0.3,-1.25
"1066",0.4,-1.25
"1067",0.5,-1.25
"1068",0.6,-1.25
"1069",0.7,-1.25
"1070",0.8,-1.25
"1071",0.9,-1.25
"1072",1,-1.25
"1073",1.1,-1.25
"1074",1.2,-1.25
"1075",1.3,-1.25
"1076",1.4,-1.25
"1077",1.5,-1.25
"1078",1.6,-1.25
"1079",1.7,-1.25
"1080",1.8,-1.25
"1081",1.9,-1.25
"1082",2,-1.25
"1083",2.1,-1.25
"1084",2.2,-1.25
"1085",2.3,-1.25
"1086",2.4,-1.25
"1087",2.5,-1.25
"1088",2.6,-1.25
"1089",2.7,-1.25
"1090",2.8,-1.25
"1091",2.9,-1.25
"1092",3,-1.25
"1093",3.1,-1.25
"1094",3.2,-1.25
"1095",3.3,-1.25
"1096",3.4,-1.25
"1097",3.5,-1.25
"1098",3.6,-1.25
"1099",3.7,-1.25
"1100",3.8,-1.25
"1101",3.9,-1.25
"1102",4,-1.25
"1103",4.1,-1.25
"1104",4.2,-1.25
"1105",-2.6,-1.2
"1106",-2.5,-1.2
"1107",-2.4,-1.2
"1108",-2.3,-1.2
"1109",-2.2,-1.2
"1110",-2.1,-1.2
"1111",-2,-1.2
"1112",-1.9,-1.2
"1113",-1.8,-1.2
"1114",-1.7,-1.2
"1115",-1.6,-1.2
"1116",-1.5,-1.2
"1117",-1.4,-1.2
"1118",-1.3,-1.2
"1119",-1.2,-1.2
"1120",-1.1,-1.2
"1121",-1,-1.2
"1122",-0.9,-1.2
"1123",-0.8,-1.2
"1124",-0.7,-1.2
"1125",-0.6,-1.2
"1126",-0.5,-1.2
"1127",-0.4,-1.2
"1128",-0.3,-1.2
"1129",-0.2,-1.2
"1130",-0.1,-1.2
"1131",0,-1.2
"1132",0.1,-1.2
"1133",0.2,-1.2
"1134",0.3,-1.2
"1135",0.4,-1.2
"1136",0.5,-1.2
"1137",0.6,-1.2
"1138",0.7,-1.2
"1139",0.8,-1.2
"1140",0.9,-1.2
"1141",1,-1.2
"1142",1.1,-1.2
"1143",1.2,-1.2
"1144",1.3,-1.2
"1145",1.4,-1.2
"1146",1.5,-1.2
